parameter,fraction,t,classifcation,trout_class,type,use,water_type,threshold,direction
mercury,dissolved,ug/l, i,none,health_fish-consumption,fishing,flow,7.00E-04,<=
mercury,dissolved,ug/l, sb,none,health_fish-consumption,fishing,flow,7.00E-04,<=
mercury,dissolved,ug/l, sa,none,health_fish-consumption,fishing,flow,7.00E-04,<=
mercury,dissolved,ug/l,d,all,wildlife,fishing,flow; pond,0.0026,<=
mercury,dissolved,ug/l, c,all,wildlife,fishing,flow; pond,0.0026,<=
mercury,dissolved,ug/l, b,all,wildlife,fishing,flow; pond,0.0026,<=
mercury,dissolved,ug/l, a,all,wildlife,fishing,flow; pond,0.0026,<=
mercury,dissolved,ug/l, a-special,all,wildlife,fishing,flow; pond,0.0026,<=
mercury,dissolved,ug/l, aa,all,wildlife,fishing,flow; pond,0.0026,<=
mercury,dissolved,ug/l, aa-special,all,wildlife,fishing,flow; pond,0.0026,<=
mercury,dissolved,ug/l,sd,none,wildlife,fishing,flow,0.0026,<=
mercury,dissolved,ug/l, sc,none,wildlife,fishing,flow,0.0026,<=
mercury,dissolved,ug/l, i,none,wildlife,fishing,flow,0.0026,<=
mercury,dissolved,ug/l, sb,none,wildlife,fishing,flow,0.0026,<=
mercury,dissolved,ug/l, sa,none,wildlife,fishing,flow,0.0026,<=
mercury,dissolved,ug/l,d,all,aquatic_acute,fishing,flow; pond,1.4,<=
mercury,dissolved,ug/l, c,all,aquatic_acute,fishing,flow; pond,1.4,<=
mercury,dissolved,ug/l, b,all,aquatic_acute,fishing,flow; pond,1.4,<=
mercury,dissolved,ug/l, a,all,aquatic_acute,fishing,flow; pond,1.4,<=
mercury,dissolved,ug/l, a-special,all,aquatic_acute,fishing,flow; pond,1.4,<=
mercury,dissolved,ug/l, aa,all,aquatic_acute,fishing,flow; pond,1.4,<=
mercury,dissolved,ug/l, aa-special,all,aquatic_acute,fishing,flow; pond,1.4,<=
mercury,dissolved,ug/l,c,all,aquatic_chronic,fishing,flow; pond,0.77,<=
mercury,dissolved,ug/l, b,all,aquatic_chronic,fishing,flow; pond,0.77,<=
mercury,dissolved,ug/l, a,all,aquatic_chronic,fishing,flow; pond,0.77,<=
mercury,dissolved,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,0.77,<=
mercury,dissolved,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,0.77,<=
mercury,dissolved,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,0.77,<=
nickel,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,100,<=
nickel,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,100,<=
nickel,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,100,<=
nickel,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,100,<=
nickel,dissolved,ug/l,c,all,aquatic_chronic,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, b,all,aquatic_chronic,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, a,all,aquatic_chronic,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l,d,all,aquatic_acute,fishing,flow; pond,NA,<=
