parameter,fraction,units,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,type,use,water_type,standard_type,narrative,wqs_threshold,wqs_threshold_formula,wqs_threshold_x_column,wqs_threshold_y_column,statistic,min_n,block,direction,threshold,t,summarize_rows,summarize_rows_operator,classification,calculation
cadmium,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,(0.85) exp(1.128 [ln (ppm hardness)] - 3.6867),thresh_hardness_correction, 0.85 * exp(1.128 * log(x) - 3.6867),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,aa-special,yes
cadmium,dissolved,ug/l,sd,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,21 ug/L,none,,none,none,none,1,single,<=,21,ug/l,FALSE,,sd,
cadmium,dissolved,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,7.7 ug/L,none,,none,none,none,1,single,<=,7.7,ug/l,FALSE,,sc,
cadmium,dissolved,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,7.7 ug/L,none,,none,none,none,1,single,<=,7.7,ug/l,FALSE,,i,
cadmium,dissolved,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,7.7 ug/L,none,,none,none,none,1,single,<=,7.7,ug/l,FALSE,,sb,
cadmium,dissolved,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,7.7 ug/L,none,,none,none,none,1,single,<=,7.7,ug/l,FALSE,,sa,
chloride,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"250,000 ug/L",none,,none,none,none,1,single,<=,250000,ug/l,FALSE,,a,
chloride,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"250,000 ug/L",none,,none,none,none,1,single,<=,250000,ug/l,FALSE,,a-special,
chloride,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"250,000 ug/L",none,,none,none,none,1,single,<=,250000,ug/l,FALSE,,aa,
chloride,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"250,000 ug/L",none,,none,none,none,1,single,<=,250000,ug/l,FALSE,,aa-special,
copper,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,200 ug/L,none,,none,none,none,1,single,<=,200,ug/l,FALSE,,a,
copper,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,200 ug/L,none,,none,none,none,1,single,<=,200,ug/l,FALSE,,a-special,
copper,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,200 ug/L,none,,none,none,none,1,single,<=,200,ug/l,FALSE,,aa,
copper,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,200 ug/L,none,,none,none,none,1,single,<=,200,ug/l,FALSE,,aa-special,
copper,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,(0.96) exp(0.8545 [ln (ppm hardness)] - 1.702,thresh_hardness_correction, 0.96 * exp(0.8545 * log(x) - 1.702),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,c,yes
